ID,Phase,Task,Task Explanation,Deliverable / Definition of Done,Start,End,Priority,Owner,Status,Progress,Dependency
20,V2 - BESS,Set the starting BESS parameters,"Use the Term 1 BESS model as the baseline: P, E, SOC limits, efficiency and initial/final SOC rules.",BESS settings written in code/config,10/11/2026,10/13/2026,High,Team,Not Started,0,9
21,V2 - BESS,Implement SOC update,Code the battery energy/SOC update for charging and discharging.,SOC changes correctly for simple tests,10/12/2026,10/14/2026,Critical,Team,Not Started,0,20
22,V2 - BESS,Add charge / discharge limits,"Enforce SOC, power, efficiency and no simultaneous charge/discharge rules.",Battery limits enforced,10/14/2026,10/16/2026,Critical,Team,Not Started,0,21
23,V2 - BESS,Connect a fixed BESS to the network,Place one fixed BESS at a chosen bus and make its charging/discharging affect the power flow.,Fixed BESS changes network injection,10/16/2026,10/18/2026,Critical,Team,Not Started,0,"15,22"
24,V2 - BESS,Run fixed-BESS time series,Run the 5-bus time series with one fixed BESS and save SOC/network results.,Full V2 simulation completed,10/18/2026,10/19/2026,Critical,Team,Not Started,0,"17,23"
25,V2 - BESS,Verify V2 BESS implementation,"Check SOC by hand for simple steps and test SOC limits, power limits, charge/discharge behavior and network interaction. This verifies the battery code before using it in later stages.",V2 BESS implementation verified,10/19/2026,10/20/2026,Critical,Team,Not Started,0,24
26,Documentation,Write Chapter 4 - V2 BESS implementation,"Write the fixed-BESS implementation: battery parameters, SOC update, charge/discharge limits, network connection, time-series behavior and fixes made during V2.",Chapter 4 V2 subsection draft,10/20/2026,10/22/2026,High,Team,Not Started,0,25
27,V3 - Manual Compare,Choose manual test cases,"Pick a small set of buses, power ratings and energy capacities to compare before using GWO.",Manual comparison table planned,10/20/2026,10/20/2026,Medium,Team,Not Started,0,25
28,V3 - Manual Compare,Compare BESS locations,Keep P and E fixed and move the battery between selected buses. Compare the results.,Location comparison results,10/20/2026,10/21/2026,High,Team,Not Started,0,27
29,V3 - Manual Compare,Compare BESS P and E sizes,Keep location controlled and compare different battery power and energy sizes.,Size comparison results,10/20/2026,10/21/2026,High,Team,Not Started,0,27
30,V3 - Manual Compare,Summarize what changes the result,"Write a short note showing how location, power and energy affect voltage, cost, curtailment or shedding.",V3 reference results ready,10/21/2026,10/22/2026,High,Team,Not Started,0,"28,29"
31,Documentation,Write Chapter 4 - V3 + prepare progress-update content,"Document the manual BESS location and size trials for Chapter 4. Also prepare the technical content needed for the official Progress Update due 22 Oct: current implementation status, working results, problems, next steps and figures that can be reused in the 25–29 Oct presentation.",Chapter 4 V3 draft + Progress Update content ready for 22 Oct,10/21/2026,10/22/2026,Medium,Team,Not Started,0,30
32,V4 - Optimization,Implement cost / curtailment / shedding metrics,Code the same main performance terms used in the Term 1 objective and make sure each one can be calculated separately.,Evaluator returns all main metrics,10/22/2026,10/25/2026,Critical,Team,Not Started,0,30
33,V4 - Optimization,Implement the Term 1 WSM objective,Combine the Term 1 criteria using the 0.50 / 0.25 / 0.25 baseline weights and clearly handle their scales/normalization.,Working WSM fitness value,10/24/2026,10/27/2026,Critical,Team,Not Started,0,32
34,V4 - Optimization,Implement GWO candidate variables,"Implement GWO using BESS location B, power P and energy E as the candidate solution.","GWO can create valid B,P,E candidates",10/25/2026,10/29/2026,Critical,Team,Not Started,0,33
35,V4 - Optimization,Connect GWO to the simulator,"For every wolf, run the battery/network simulation and return the WSM fitness plus constraint handling.",GWO evaluates real simulation results,10/28/2026,11/1/2026,Critical,Team,Not Started,0,34
36,V4 - Optimization,Run deterministic GWO,Run GWO using one deterministic load/PV profile and save convergence and best BESS result.,First automatic BESS result,10/31/2026,11/3/2026,Critical,Team,Not Started,0,35
37,V4 - Optimization,Build exhaustive-search reference,"On the small 5-bus case, test a limited set of all allowed B,P,E combinations to find a known reference best result.",Reference optimum for small case,10/29/2026,11/2/2026,High,Team,Not Started,0,"30,33"
38,V4 - Optimization,Compare GWO with exhaustive search,Check whether GWO reaches the same or close result and record the difference and runtime.,GWO validation result,11/2/2026,11/4/2026,Critical,Team,Not Started,0,"36,37"
39,V4 - Optimization,Test GWO population and iterations,Try a few population sizes and iteration limits to see their effect on result quality and runtime.,GWO setting comparison,11/3/2026,11/5/2026,High,Team,Not Started,0,38
40,Documentation,Write Chapter 4 - V4 GWO implementation,"Document the evaluator, WSM, GWO candidate variables, simulator connection, deterministic run, exhaustive-search comparison and GWO setting tests.",Chapter 4 V4 subsection draft,11/5/2026,11/7/2026,High,Team,Not Started,0,39
41,Validation Planning,Design Chapter 5 validation experiments,"Plan the formal Chapter 5 experiments that will validate the Term 1 design specifications. For each experiment define: objective, relevant background, detailed work steps, tools, data/figures/tables to collect, and how the data will be analyzed. Map every Term 1 requirement to at least one experiment or direct evidence check.",Chapter 5 experiment plan + requirement-to-evidence map,11/5/2026,11/7/2026,High,Team,Not Started,0,39
42,V5 - Uncertainty,Implement ARIMA,Use the Term 1 ARIMA method on the selected historical data and generate forecasts.,ARIMA forecast working,10/27/2026,11/1/2026,High,Team,Not Started,0,6
43,V5 - Uncertainty,Verify ARIMA forecast accuracy,"Check that the ARIMA implementation behaves correctly using held-out historical data, RMSE, MAPE and simple plots. Keep this as implementation verification in Chapter 4; it supports confidence in the uncertainty module.",ARIMA implementation verified with forecast-error results,11/1/2026,11/2/2026,High,Team,Not Started,0,42
44,V5 - Uncertainty,Generate 100 Monte Carlo scenarios,Use the ARIMA/error behavior to generate the 100 scenarios described in the Term 1 design.,100 load/PV scenarios generated,11/2/2026,11/4/2026,Critical,Team,Not Started,0,43
45,V5 - Uncertainty,Select the 45 Term 1 scenarios,"Select 15 best, 15 worst and 15 random scenarios using clear rules.",45 baseline scenarios ready,11/4/2026,11/5/2026,Critical,Team,Not Started,0,44
46,V5 - Uncertainty,Verify scenario realism,"Check that generated scenarios are realistic compared with historical load/PV behavior using range, mean, variation and profile shape, and check PV physical limits. This verifies the uncertainty implementation before final requirement validation.",Monte Carlo scenarios verified as physically/statistically reasonable,11/5/2026,11/6/2026,High,Team,Not Started,0,"44,45"
47,V5 - Uncertainty,Run GWO for the 45 scenarios,Use the implemented GWO and simulation on the retained scenarios as described in Term 1.,Scenario optimization results,11/5/2026,11/9/2026,Critical,Team,Not Started,0,"36,45"
48,V5 - Uncertainty,Apply WSM to the scenario results,Apply the Term 1 WSM process to the scenario outputs and produce the baseline uncertainty recommendation.,Term 1 uncertainty workflow completed,11/8/2026,11/10/2026,Critical,Team,Not Started,0,47
49,V5 - Uncertainty,Verify V5 uncertainty workflow,"Check that the full ARIMA → Monte Carlo → 45-scenario → GWO/WSM workflow runs correctly and gives a clear usable BESS result. If there is a real technical problem, document it before changing the Term 1 method.",V5 uncertainty workflow verified or issue clearly documented,11/10/2026,11/11/2026,Critical,Team,Not Started,0,"46,48"
50,Documentation,Write Chapter 4 - V5 uncertainty implementation,"Write how ARIMA, Monte Carlo, the 100 scenarios, the 45 selected scenarios, GWO and WSM were implemented. Record any issue found before changing the Term 1 method.",Chapter 4 V5 subsection draft,11/11/2026,11/13/2026,High,Team,Not Started,0,49
51,V6 - Software,Sketch the simple UI,"Plan only the screens needed for network/data input, baseline run, optimization and results.",Simple UI sketch/workflow,11/5/2026,11/7/2026,Medium,Team,Not Started,0,9
52,V6 - Software,Build network / data input UI,Let the user load or enter the network and load/PV data without editing source code.,Input screen working,11/7/2026,11/10/2026,High,Team,Not Started,0,"51,17"
53,V6 - Software,Connect baseline simulation to UI,Add a button/workflow to run V1 and show the main baseline results.,Baseline run works from UI,11/9/2026,11/11/2026,High,Team,Not Started,0,"52,18"
54,V6 - Software,Connect optimization and results to UI,"Run the V4/V5 backend from the UI and show selected bus, P, E and main technical/economic results.",Optimization works from UI,11/11/2026,11/14/2026,Critical,Team,Not Started,0,"48,53"
55,V6 - Software,"Add progress, errors and save results",Show useful error messages/progress and allow key results to be saved/exported.,Basic software usability completed,11/14/2026,11/15/2026,High,Team,Not Started,0,54
56,V6 - Software,Run one full end-to-end test,Start from input files and run the full workflow to the final BESS result without manual code edits.,V6 full workflow works,11/15/2026,11/16/2026,Critical,Team,Not Started,0,55
57,Documentation,Write Chapter 4 - V6 software integration,"Document the UI and final software integration: input flow, backend connection, results display, error handling, save/export and end-to-end operation. Include clear screenshots/images of the final product and show how the separate modules are assembled into one system.",Chapter 4 V6/final-product subsection draft with screenshots,11/16/2026,11/18/2026,High,Team,Not Started,0,56
58,Validation,Experiment 1 - Technical and economic performance,"Run the final baseline and optimized-BESS cases using the same inputs. Validate the Term 1 performance specifications such as load-shedding reduction, renewable-curtailment reduction, operational-cost reduction, voltage limits and SOC/DoD limits. Save the objective, background, detailed steps, tools, figures/tables, measured data and analysis for Chapter 5.",Complete performance validation experiment with figures/tables and conclusions,11/16/2026,11/19/2026,Critical,Team,Not Started,0,"49,56"
59,Validation,Experiment 2 - Optimizer and uncertainty requirements,"Formally test the Term 1 optimizer/uncertainty specifications. Check scenario count, GWO convergence/iteration limits and the behavior of the selected solution across the retained scenarios. Use the earlier sensitivity/robustness work as supporting evidence where useful. Save objective, background, steps, tools, data and analysis.",Complete optimizer/uncertainty validation experiment with measured evidence,11/19/2026,11/21/2026,Critical,Team,Not Started,0,"39,49,58"
60,Validation,Experiment 3 - Network scalability,Run the stable final framework on the IEEE 33-bus network and use the same implementation workflow. Validate the Term 1 minimum-network-size/extendability requirement and collect the required experiment objective, background, steps, tools, figures/tables and analysis.,Complete IEEE 33-bus scalability validation experiment,11/19/2026,11/22/2026,Critical,Team,Not Started,0,"18,49"
61,Validation,Complete Chapter 5 validation results,"Combine the formal validation experiments and create the final requirement-evidence summary. For every Term 1 design requirement show the target, experiment/direct check, measured result, evidence location and status: Met, Partially Met or Not Met. Keep the detailed reasoning in the experiment analysis and Chapter 6.1.",Chapter 5 complete with formal experiments + requirement-evidence summary,11/22/2026,11/24/2026,Critical,Team,Not Started,0,"58,59,60"
62,Implementation Verification,Test common software failure cases,"Try bad files, missing data, disconnected network, invalid BESS limits and failed optimization. Fix important problems and record expected/actual behavior. This is software verification and should be documented with the implementation, not treated as final requirement validation unless a Term 1 requirement directly covers it.",Software failure-case verification record,11/15/2026,11/18/2026,High,Team,Not Started,0,56
63,Final Results,Freeze final cases and outputs,"Stop changing the main setup. Save exact inputs, settings, seeds, plots and tables used in the final report.",Reproducible final results package,11/24/2026,11/25/2026,Critical,Team,Not Started,0,"58,59,60,62,61"
64,Documentation,Merge and polish Chapter 4 to template,"Combine the V1-V6 drafts and make sure Chapter 4 follows the final-report template: practical implementation details, multiple trials used to reach a satisfactory design, related design calculations, justified changes from the Term 1 baseline, and the final assembled product with multiple screenshots/images. Remove repeated text and make figures/tables consistent.",Complete Chapter 4 matching the final-report template,11/18/2026,11/26/2026,Critical,Team,Not Started,0,56
65,Documentation,"Finish Chapter 5, Chapter 6 and Appendix D","Finish Chapter 5 using the required validation-experiment format: objectives, background, detailed work plan, tools, collected data in organized figures/tables, and analysis/conclusions. Then write Chapter 6 using the template headings: 6.1 Evaluation of Solution, 6.2 Impact of Solution, 6.3 Future Work, and 6.4 Conclusion. Finish Appendix D with the code of ethics, ethical issue, analysis and informed decision.",Chapters 5-6 + Appendix D completed using the official template,11/26/2026,11/29/2026,Critical,Team,Not Started,0,"41,61,64"
66,Final Presentation,Prepare and deliver final presentation/demo,"The final report must already be submitted by 30 Nov. From 1 Dec, focus on the presentation and live demo: select final figures/results, prepare slides, rehearse the software workflow, run one clean reproducibility check, fix only critical demo issues, and be ready for the official presentation window 6–10 Dec.",Final presentation/demo ready and delivered during 6–10 Dec window,12/1/2026,12/10/2026,Critical,Team,Not Started,0,"63,64,65"
